Function,ProviderGuid,ProviderSymbol,ReghandleSymbol,WriteFunction,EventDescriptorSymbol,Id,Version,Channel,Level,Opcode,Task,Keyword,ContainingFunction,CallDepth,ExportedCallDepth,CallPath,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtOpenThread,e02a841c-75a3-4fa7-afc8-ae09cf9b7f23,KernelAuditApiCallsGuid,EtwApiCallsProvRegHandle,EtwWrite,KERNEL_AUDIT_API_OPENTHREAD,6,0,0,4,0,0,0x0,PsOpenThread,2,0,[NtOpenThread->PsOpenThread],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtOpenThread,c59673d8-b796-58df-fbf8-a70bad656dca,Microsoft.Windows.Kernel.ProcessSubsystem,,_tlgWriteTransfer,ThreadOpenFailedForForcedAccessCheck,-,-,11,5,0,-,0x400000000000,PsOpenThread,2,0,[NtOpenThread->PsOpenThread],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtQueryEaFile,???,,PsDispatchIumService,EtwWriteEx,,,,,,,,,PsDispatchIumService,10,2,[NtQueryEaFile->ExAllocatePool2->ExpAllocatePoolWithTagFromNode->ExAllocateHeapPool->VfHandlePoolAlloc->ExAllocatePool3->FUN_140aacf3c->VslSecurePoolAllocate->VslpEnterIumSecureMode->PsDispatchIumService],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtQueryEnvironmentVariableInfoEx,a9fdf37b-d72d-4051-a3cd-d422103ce079,Microsoft.Windows.Kernel.SysEnv,,_tlgWriteTransfer,QueryVariables,-,-,11,5,0,-,0x200000000000,IoQueryEnvironmentVariableInfoEx,2,0,[NtQueryEnvironmentVariableInfoEx->IoQueryEnvironmentVariableInfoEx],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtQueryInformationFile,c4e507b1-7224-4737-bde0-ced9284e7073,AttackSurfaceMonitor,,_tlgWriteTransfer,Ast.DeviceCreated,-,-,11,5,0,-,0x200000000000,AstLogDeviceCreated,10,2,[NtQueryInformationFile->IofCallDriver->IovCallDriver->VfBeforeCallDriver->IovpCallDriver1->VfIrpLogRecordEvent->ViIrpLogExposeWmiCallback->ViDdiDriverEntry->IoCreateDevice->AstLogDeviceCreated],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtQueryInformationFile,22fb2cd6-0e7b-422b-a0c7-2fad1fd0e716,PsProvGuid,EtwpPsProvRegHandle,EtwWrite,PfSnEvt_PrefetchMetadata_Start,3,1,16,4,1,3,0x8000000000000020,EtwpPsProvTraceThread,10,1,[NtQueryInformationFile->KeWaitForMutexObject->KiCommitThreadWait->KiSwapThread->KiInsertDeferredPreemptionApc->KiInsertQueueApc->KiSchedulerApcTerminate->PspExitThread->EtwTraceThread->EtwpPsProvTraceThread],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtQueryInformationFile,331c3b3a-2005-44c2-ac5e-77220c37d6b4,POP_ETW_PROVIDER,PopDiagHandle,EtwWriteEx,POP_ETW_EVENT_KERNEL_STRS,98,1,16,4,0,95,0x4000000000004004,PoTraceSystemTimerResolutionKernel,10,1,[NtQueryInformationFile->KeWaitForMutexObject->KiCheckForThreadDispatch->KiSwapContext->SwapContext->KeCheckAndApplyBamQos->KeUpdatePendingQosRequest->KiSetVirtualHeteroClockIntervalRequest->KiSetClockInterval->PoTraceSystemTimerResolutionKernel],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtQueryInformationFile,22fb2cd6-0e7b-422b-a0c7-2fad1fd0e716,PsProvGuid,EtwpPsProvRegHandle,EtwWrite,ThreadStop,4,1,16,4,2,4,0x8000000000000020,EtwpPsProvTraceThread,10,1,[NtQueryInformationFile->KeWaitForMutexObject->KiCommitThreadWait->KiSwapThread->KiInsertDeferredPreemptionApc->KiInsertQueueApc->KiSchedulerApcTerminate->PspExitThread->EtwTraceThread->EtwpPsProvTraceThread],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtQueryInformationFile,22fb2cd6-0e7b-422b-a0c7-2fad1fd0e716,PsProvGuid,EtwpPsProvRegHandle,EtwWriteEx,ThreadWorkOnBehalfUpdate,21,0,16,4,0,18,0x8000000000002000,EtwTraceThreadWorkOnBehalfUpdate,10,1,[NtQueryInformationFile->KeWaitForMutexObject->KiCommitThreadWait->KiSwapThread->KiInsertDeferredPreemptionApc->KiInsertQueueApc->KiSchedulerApcTerminate->PspExitThread->PspRevertContainerImpersonation->EtwTraceThreadWorkOnBehalfUpdate],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtQueryInformationFile,f4e1897c-bb5d-5668-f1d8-040f4d8dd344,ThreatIntProviderGuid,EtwThreatIntProvRegHandle,EtwWrite,THREATINT_DEVICE_OBJECT_LOAD,31,1,16,4,0,10,0x8000000080000000,EtwTiLogDeviceObjectLoadUnload,10,2,[NtQueryInformationFile->IofCallDriver->IovCallDriver->VfBeforeCallDriver->IovpCallDriver1->VfIrpLogRecordEvent->ViIrpLogExposeWmiCallback->ViDdiDriverEntry->IoCreateDevice->EtwTiLogDeviceObjectLoadUnload],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtQueryInformationFile,f4e1897c-bb5d-5668-f1d8-040f4d8dd344,ThreatIntProviderGuid,EtwThreatIntProvRegHandle,EtwWrite,THREATINT_DEVICE_OBJECT_UNLOAD,32,1,16,4,0,10,0x8000000080000000,EtwTiLogDeviceObjectLoadUnload,10,2,[NtQueryInformationFile->IofCallDriver->IovCallDriver->VfBeforeCallDriver->IovpCallDriver1->VfIrpLogRecordEvent->ViIrpLogExposeWmiCallback->ViDdiDriverEntry->IoCreateDevice->EtwTiLogDeviceObjectLoadUnload],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtQueryInformationFile,f4e1897c-bb5d-5668-f1d8-040f4d8dd344,ThreatIntProviderGuid,EtwThreatIntProvRegHandle,EtwWrite,THREATINT_DRIVER_OBJECT_LOAD,29,1,16,4,0,10,0x8000000040000000,EtwTiLogDriverObjectLoad,9,2,[NtQueryInformationFile->IofCallDriver->IovCallDriver->VfBeforeCallDriver->IovpCallDriver1->VfIrpLogRecordEvent->ViIrpLogExposeWmiCallback->IoCreateDriver->EtwTiLogDriverObjectLoad],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtQueryInformationFile,0f67e49f-fe51-4e9f-b490-6f2948cc6027,PPM_ETW_PROVIDER,PpmEtwHandle,EtwWriteEx,,,,,,,,,,PpmEventProcessorPerfStateChange,10,1,[NtQueryInformationFile->KeWaitForMutexObject->KiCheckForThreadDispatch->KiSwapContext->SwapContext->KeCheckAndApplyBamQos->PoSetProcessorQoS->PpmPerfArbitratorApplyProcessorState->FUN_1403581b7->PpmEventProcessorPerfStateChange],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtQueryInformationFile,???,,PsDispatchIumService,EtwWriteEx,,,,,,,,,PsDispatchIumService,10,2,[NtQueryInformationFile->ExAllocatePool2->ExpAllocatePoolWithTagFromNode->ExAllocateHeapPool->VfHandlePoolAlloc->ExAllocatePool3->FUN_140aacf3c->VslSecurePoolAllocate->VslpEnterIumSecureMode->PsDispatchIumService],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
NtQueryInformationProcess,2839ff94-8f12-4e1b-82e3-af7af77a450f,KernelProcess,,_tlgWriteAgg,AppStateChangeSummary,-,-,11,5,0,-,0x400000000000,EtwpWriteAppStateChangeSummary,8,0,[NtQueryInformationProcess->VslpEnterIumSecureMode->PsDispatchIumService->DbgkpSuspendProcess->PsFreezeProcess->PsSetProcessTelemetryAppState->EtwTraceAppStateChange->EtwpWriteAppStateChangeSummary],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
